회사,표준산업분류,연혁,매출액,기업유형,평균연봉,홈페이지,고용보험 사업장 수,고용보험 가입 사원수,국민연금 가입 사원수,퇴사/입사 (1년)
테크랩스,그 외 기타 정보 서비스업,11년 (2013년 설립),"91억 1,425만원",,"4,462만원",-,1개,206명,,
뉴닉,통신 판매업,6년 (2018년 설립),"1억 1,525만원",주식회사,"4,592만원",-,1개,22명,32명,8명/21명
릴리스에이아이,,,,,,,,,,
몰로코,광고 대행업,10년 (2014년 설립),"126억 9,099만원",기타 법인,"6,032만원",-,1개,147명,160명,39명/45명
디스콰이엇,포털 및 기타 인터넷 정보 매개 서비스업,3년 (2021년 설립),-,,-,-,1개,4명,,
와디즈,경영 컨설팅 및 공공 관계 서비스업,4년 (2020년 설립),"121억 1,258만원",주식회사,"5,526만원",-,1개,356명,261명,177명/98명
마드라스체크,시스템ㆍ응용 소프트웨어 개발 및 공급업,9년 (2015년 설립),28억 917만원,주식회사,"5,355만원",-,1개,80명,111명,18명/22명
생활연구소,통신 판매업,4년 (2020년 설립),-,,"1,231만원",-,1개,1명,,
워시스왓,세탁업,9년 (2015년 설립),"132억 5,517만원",주식회사,"3,775만원",-,1개,418명,268명,334명/267명
아이네블루메,그 외 기타 정보 서비스업,6년 (2018년 설립),"7억 2,711만원",주식회사,"4,136만원",-,1개,2명,3명,3명/0명
바비톡,시스템ㆍ응용 소프트웨어 개발 및 공급업,10년 (2014년 설립),-,주식회사,"5,932만원",babitalk.com,1개,63명,83명,20명/36명
레몬트리,"생활용 섬유제품, 의복, 의복 액세서리 및 모피제품 도매업",9년 (2015년 설립),"136억 1,010만원",주식회사,"3,215만원",-,1개,20명,22명,8명/9명
트렌비,통신 판매업,7년 (2017년 설립),"217억 6,221만원",주식회사,"4,042만원",-,1개,112명,79명,53명/39명
넥스트에디션,시스템ㆍ응용 소프트웨어 개발 및 공급업,5년 (2019년 설립),"2억 1,961만원",주식회사,"4,533만원",-,1개,15명,22명,13명/16명
