회사,표준산업분류,연혁,매출액,기업유형,평균연봉,홈페이지,고용보험 사업장 수,고용보험 가입 사원수,국민연금 가입 사원수,퇴사/입사 (1년)
CJ ENM,상품 종합 도매업,5년 (2019년 설립),"2조 1,091억 2,508만원",주식회사,"1,680만원",-,2개,"9,155명","6,647명","14,519명/15,121명"
이지홀딩스,,,,,,,,,,
기산텔레콤,통신 공사업,30년 (1994년 설립),-,주식회사,"4,586만원",www.kisantel.co.kr,2개,57명,45명,6명/4명
화천기공,가공 공작기계 제조업,47년 (1977년 설립),"1,789억 6,755만원",주식회사,"7,212만원",www.hwacheon.com,1개,241명,230명,23명/19명
팜스코,상품 중개업,5년 (2019년 설립),-,기타 법인,"4,487만원",-,1개,3명,4명,2명/2명
케이티앤지,보육시설 운영업,2년 (2022년 설립),-,기타 법인,"2,988만원",-,1개,8명,10명,8명/8명
HD한국조선해양,,,,,,,,,,
디씨엠,,,,,,,,,,
바른손이앤에이,"영화, 비디오물 및 방송 프로그램 제작업",28년 (1996년 설립),"83억 3,059만원",주식회사,"5,259만원",www.barunsonena.com/,1개,0명,30명,17명/7명
솔본,경영 컨설팅 및 공공 관계 서비스업,30년 (1994년 설립),"33억 2,412만원",주식회사,"9,112만원",www.solborn.co.kr,1개,8명,9명,2명/0명
시공테크,-,1년 (2023년 설립),-,기타 법인,"1,308만원",-,2개,9명,4명,0명/2명
신일제약,-,47년 (1977년 설립),800억 700만원,주식회사,"4,924만원",www.sinilpharm.com,1개,397명,393명,100명/112명
조아제약,기초 의약 물질 및 생물학적 제제 제조업,28년 (1996년 설립),"565억 3,208만원",주식회사,"6,049만원",www.choa.co.kr,1개,272명,263명,45명/50명
AK홀딩스,그 외 기타 금융업,54년 (1970년 설립),-,주식회사,"9,678만원",www.aekyunggroup.co.kr,1개,24명,26명,3명/1명
HS애드,광고 대행업,40년 (1984년 설립),-,주식회사,"8,476만원",www.g2rgroup.com/korean/main/main.asp,1개,423명,806명,205명/236명
대한유화,합성고무 및 플라스틱 물질 제조업,54년 (1970년 설립),-,주식회사,"9,923만원",www.kpic.co.kr,2개,839명,787명,95명/19명
백산,,,,,,,,,,
체시스,기타 기계 및 장비 도매업,6년 (2018년 설립),-,기타 법인,"4,007만원",-,1개,6명,7명,3명/4명
인성정보,"컴퓨터 시스템 통합 자문, 구축 및 관리업",32년 (1992년 설립),"1,070억 879만원",주식회사,"5,049만원",www.insunginfo.co.kr,1개,293명,261명,109명/80명
그래디언트,시스템ㆍ응용 소프트웨어 개발 및 공급업,4년 (2020년 설립),"2억 5,621만원",주식회사,"3,168만원",-,1개,19명,4명,1명/1명
동국산업,시설물 유지관리 공사업,4년 (2020년 설립),-,기타 법인,"4,469만원",-,1개,1명,4명,1명/0명
매일홀딩스,그 외 기타 금융업,55년 (1969년 설립),-,주식회사,"9,197만원",www.maeil.com,1개,36명,42명,8명/10명
해성산업,사진장비 및 광학기기 제조업,18년 (2006년 설립),-,기타 법인,"4,004만원",-,1개,7명,6명,1명/0명
자화전자,"다이오드, 트랜지스터 및 유사 반도체 소자 제조업",37년 (1987년 설립),"2,943억 259만원",주식회사,"3,744만원",www.jahwa.co.kr,1개,587명,"1,408명","464명/1,203명"
케이티,시스템ㆍ응용 소프트웨어 개발 및 공급업,1년 (2023년 설립),-,기타 법인,"3,312만원",-,1개,1명,8명,4명/6명
하이트론씨스템즈,건물설비 설치 공사업,38년 (1986년 설립),"274억 7,605만원",주식회사,"5,429만원",www.hitron.co.kr,1개,0명,33명,35명/17명
제일기획,시스템ㆍ응용 소프트웨어 개발 및 공급업,5년 (2019년 설립),"14억 2,409만원",기타 법인,"4,249만원",-,1개,14명,10명,7명/1명
한국정보통신,기술 및 직업 훈련학원,25년 (1999년 설립),-,기타 법인,"5,771만원",-,1개,11명,9명,0명/0명
파라텍,기타 일반 목적용 기계 제조업,51년 (1973년 설립),"1,128억 4,564만원",주식회사,"4,870만원",www.paratech.co.kr,2개,292명,241명,80명/51명
동성화인텍,그 외 기타 화학제품 제조업,39년 (1985년 설립),"3,638억 8,290만원",주식회사,"6,643만원",www.dsfinetec.co.kr,2개,501명,495명,77명/123명
스틱인베스트먼트,신탁업 및 집합 투자업,42년 (1982년 설립),-,주식회사,"22,418만원",www.stic.co.kr,1개,47명,62명,20명/29명
케이씨,"영화, 비디오물 및 방송 프로그램 제작업",2년 (2022년 설립),-,주식회사,"4,239만원",-,1개,3명,6명,4명/7명
드래곤플라이,여행사업,21년 (2003년 설립),-,,"1,922만원",-,1개,1명,,
엠케이전자,"다이오드, 트랜지스터 및 유사 반도체 소자 제조업",42년 (1982년 설립),"5,486억 3,983만원",주식회사,"5,411만원",www.mke.co.kr,1개,294명,290명,41명/37명
엠투엔,"산업용 난방 보일러, 금속탱크 및 유사 용기 제조업",59년 (1965년 설립),-,주식회사,"5,202만원",www.dkdni.co.kr,1개,161명,170명,31명/36명
제이씨현시스템,통신 공사업,33년 (1991년 설립),"1,989억 7,312만원",주식회사,"4,778만원",www.jchyun.com,2개,92명,84명,25명/19명
포스코엠텍,일반 기계류 수리업,7년 (2017년 설립),-,기타 법인,"5,786만원",-,1개,2명,3명,4명/5명
스페코,기타 기계 및 장비 도매업,15년 (2009년 설립),-,기타 법인,"5,852만원",-,1개,11명,10명,3명/0명
좋은사람들,고용 알선업,5년 (2019년 설립),-,기타 법인,"3,333만원",-,1개,3명,5명,2명/2명
대원화성,기타 종이 및 판지 제품 제조업,50년 (1974년 설립),-,주식회사,"6,928만원",www.daewon21.co.kr,1개,10명,4명,4명/0명
모아텍,공학 연구개발업,35년 (1989년 설립),-,주식회사,"4,932만원",www.moatech.co.kr,1개,71명,85명,7명/6명
코웰패션,상품 중개업,9년 (2015년 설립),-,,"4,045만원",-,1개,434명,,
코콤,광고 대행업,26년 (1998년 설립),"79억 7,441만원",기타 법인,"4,732만원",-,1개,34명,11명,19명/3명
E1,,,,,,,,,,
SK가스,연료용 가스 제조 및 배관공급업,39년 (1985년 설립),"4조 9,982억 8,110만원",주식회사,"11,123만원",www.skgas.co.kr/,4개,634명,607명,67명/75명
다우기술,시스템ㆍ응용 소프트웨어 개발 및 공급업,38년 (1986년 설립),"2,728억 9,709만원",주식회사,"8,454만원",www.daou.co.kr,2개,653명,713명,76명/147명
영보화학,합성고무 및 플라스틱 물질 제조업,45년 (1979년 설립),-,주식회사,"7,364만원",www.youngbo.com,1개,262명,234명,6명/5명
제룡전기,전기 공사업,38년 (1986년 설립),"487억 8,312만원",주식회사,"6,739만원",www.cheryong.co.kr,1개,0명,196명,19명/45명
제이엠아이,통신 판매업,8년 (2016년 설립),-,주식회사,"3,359만원",-,1개,25명,19명,10명/3명
디지틀조선,시스템ㆍ응용 소프트웨어 개발 및 공급업,24년 (2000년 설립),-,-,"3,541만원",-,1개,8명,8명,4명/1명
바이온,자연과학 연구개발업,4년 (2020년 설립),-,기타 법인,"4,955만원",-,1개,7명,12명,7명/11명
와이지-원,"날붙이, 수공구 및 일반 철물 제조업",38년 (1986년 설립),-,주식회사,"4,089만원",www.yg1.co.kr,1개,289명,"1,482명",405명/340명
특수건설,건설장비 운영업,23년 (2001년 설립),-,기타 법인,"4,032만원",-,2개,17명,18명,6명/5명
아이즈비전,통신 판매업,32년 (1992년 설립),"233억 9,288만원",주식회사,"4,362만원",www.eyesvision.com,1개,53명,44명,34명/26명
SKC,1차 플라스틱제품 제조업,7년 (2017년 설립),-,기타 법인,"6,032만원",-,1개,0명,314명,35명/27명
동일기연,기타 전자 부품 제조업,38년 (1986년 설립),"257억 6,748만원",주식회사,"6,100만원",www.dongiltech.co.kr,1개,127명,109명,11명/8명
소프트센,기타 정보 기술 및 컴퓨터 운영 관련 서비스업,36년 (1988년 설립),"446억 6,350만원",주식회사,"4,730만원",www.softcen.co.kr,2개,22명,31명,18명/20명
원익,전기 공사업,10년 (2014년 설립),"168억 2,416만원",기타 법인,"5,243만원",-,2개,60명,63명,28명/21명
원풍물산,겉옷 제조업,52년 (1972년 설립),333억 3만원,주식회사,"4,074만원",www.wonpung.com,1개,46명,38명,14명/14명
웰바이오텍,음료 및 담배 도매업,49년 (1975년 설립),-,주식회사,"5,233만원",www.wellbiotec.co.kr,1개,17명,18명,23명/17명
한국주강,시설물 축조 관련 전문공사업,37년 (1987년 설립),-,주식회사,"5,697만원",www.hascokorea.co.kr,1개,0명,40명,8명/17명
삼진,기타 기계 및 장비 도매업,26년 (1998년 설립),-,기타 법인,"4,114만원",-,1개,7명,6명,0명/0명
더라미,"금속류 해체, 선별 및 원료 재생업",38년 (1986년 설립),-,주식회사,"2,074만원",www.glosferlabs.com,1개,24명,51명,16명/51명
비트컴퓨터,,,,,,,,,,
판타지오,"그 외 기타 전문, 과학 및 기술 서비스업",33년 (1991년 설립),102억 697만원,주식회사,"2,273만원",fantagio.kr,2개,66명,80명,46명/48명
덕양산업,자동차 차체용 신품 부품 제조업,47년 (1977년 설립),"1조 2,951억 4,574만원",주식회사,"8,120만원",www.duckyang.co.kr,1개,745명,855명,137명/179명
에쓰씨엔지니어링,-,53년 (1971년 설립),-,주식회사,"6,333만원",www.sc-eng.com,1개,163명,138명,58명/56명
인지컨트롤스,전기 공급 및 제어장치 제조업,46년 (1978년 설립),"3,316억 2,336만원",주식회사,"4,985만원",www.inzi.co.kr,1개,593명,581명,110명/102명
유비케어,시스템ㆍ응용 소프트웨어 개발 및 공급업,30년 (1994년 설립),"1,035억 7,568만원",주식회사,"5,301만원",www.ubcare.co.kr,1개,319명,329명,73명/80명
피델릭스,시스템ㆍ응용 소프트웨어 개발 및 공급업,34년 (1990년 설립),"725억 5,900만원",주식회사,"7,464만원",www.fidelix.co.kr,1개,65명,68명,11명/16명
휴맥스홀딩스,그 외 기타 사업 지원 서비스업,35년 (1989년 설립),"77억 5,613만원",주식회사,"6,805만원",holdings.humaxdigital.com/,1개,58명,66명,13명/21명
삼일,-,77년 (1947년 설립),"1,339억 5,555만원",주식회사,"6,166만원",www.samil-pharm.com,1개,553명,575명,86명/122명
경동인베스트,그 외 기타 금융업,47년 (1977년 설립),-,주식회사,"9,050만원",www.kdinvest.co.kr,1개,14명,17명,7명/6명
뉴인텍,1차 플라스틱제품 제조업,3년 (2021년 설립),-,기타 법인,"5,852만원",-,1개,3명,3명,0명/0명
에스제이엠홀딩스,그 외 기타 금융업,49년 (1975년 설립),-,주식회사,"4,783만원",www.sjmholdings.co.kr,1개,3명,3명,3명/2명
오스템,"의약품, 의료용품 및 화장품 도매업",9년 (2015년 설립),"113억 5,255만원",주식회사,"4,633만원",-,1개,43명,51명,14명/15명
콤텍시스템,통신 공사업,41년 (1983년 설립),"2,010억 2,147만원",주식회사,"6,121만원",www.comtec.co.kr,3개,626명,587명,118명/94명
에스유홀딩스,유선 통신장비 제조업,45년 (1979년 설립),-,주식회사,"5,187만원",su-holdings.com,1개,19명,23명,8명/8명
피에스케이홀딩스,반도체 및 디스플레이 제조용 기계 제조업,34년 (1990년 설립),"615억 3,173만원",주식회사,"8,662만원",www.pskholding.com,2개,149명,33명,72명/20명
SK하이닉스,,,,,,,,,,
